collection_name,dataset_name,train_path,test_path,dataset_type,datetime_index,split_at,train_type,train_is_normal,input_type,length,dimensions,contamination,num_anomalies,min_anomaly_length,median_anomaly_length,max_anomaly_length,mean,stddev,trend,stationarity,period_size
CalIt2,CalIt2-traffic,,multivariate/CalIt2/CalIt2-traffic.test.csv,real,True,,unsupervised,False,multivariate,5040,2,0.0408730158730158,29,2,7,19,3.8128968253968254,6.422468293621787,no trend,difference_stationary,48.0
Daphnet,S01R01E0,,multivariate/Daphnet/S01R01E0.test.csv,real,True,,unsupervised,False,multivariate,19200,9,0.0,0,0,0,0,365.8603819444444,263.58831652180373,no trend,difference_stationary,36.0
Daphnet,S01R01E1,,multivariate/Daphnet/S01R01E1.test.csv,real,True,,unsupervised,False,multivariate,73600,9,0.0699320652173913,18,34,127,973,388.77843448067625,318.69151904981914,no trend,stationary,32.0
Daphnet,S01R02E0,,multivariate/Daphnet/S01R02E0.test.csv,real,True,,unsupervised,False,multivariate,28800,9,0.0537152777777777,5,112,256,571,368.7684915123457,318.5406179845703,no trend,stationary,34.0
Daphnet,S02R01E0,,multivariate/Daphnet/S02R01E0.test.csv,real,True,,unsupervised,False,multivariate,25600,9,0.1381640625,9,60,440,911,357.2628862847222,401.86343903266174,no trend,stationary,29.0
Daphnet,S02R02E0,,multivariate/Daphnet/S02R02E0.test.csv,real,True,,unsupervised,False,multivariate,64960,9,0.1242610837438423,15,215,441,1178,362.2732809934319,319.3536323167566,no trend,stationary,29.0
Daphnet,S03R01E0,,multivariate/Daphnet/S03R01E0.test.csv,real,True,,unsupervised,False,multivariate,55040,9,0.1481286337209302,20,28,255,1326,284.41590358527134,284.62925967784327,no trend,trend_stationary,21.0
Daphnet,S03R01E1,,multivariate/Daphnet/S03R01E1.test.csv,real,True,,unsupervised,False,multivariate,35840,9,0.2198939732142857,23,71,314,804,296.2285001240079,343.3964678256989,no trend,trend_stationary,14.0
Daphnet,S03R02E0,,multivariate/Daphnet/S03R02E0.test.csv,real,True,,unsupervised,False,multivariate,16640,9,0.1385817307692307,6,84,418,664,258.6072382478632,311.12530494701866,kubic trend,trend_stationary,13.0
Daphnet,S03R03E0,,multivariate/Daphnet/S03R03E0.test.csv,real,True,,unsupervised,False,multivariate,21120,9,0.0,0,0,0,0,239.93046611952863,168.64569565309745,kubic trend,not_stationary,
Daphnet,S04R01E0,,multivariate/Daphnet/S04R01E0.test.csv,real,True,,unsupervised,False,multivariate,99840,9,0.0,0,0,0,0,362.1612669159544,240.90437353776284,no trend,trend_stationary,32.0
Daphnet,S04R01E1,,multivariate/Daphnet/S04R01E1.test.csv,real,True,,unsupervised,False,multivariate,32640,9,0.0,0,0,0,0,307.5168470860567,211.98798148427267,no trend,difference_stationary,32.0
Daphnet,S05R01E0,,multivariate/Daphnet/S05R01E0.test.csv,real,True,,unsupervised,False,multivariate,19840,9,0.0602822580645161,5,159,231,367,380.892876344086,295.02710966271303,kubic trend,trend_stationary,32.0
Daphnet,S05R01E1,,multivariate/Daphnet/S05R01E1.test.csv,real,True,,unsupervised,False,multivariate,24320,9,0.3361019736842105,20,82,343,986,383.15843384502926,246.18651441815584,kubic trend,difference_stationary,33.0
Daphnet,S05R01E2,,multivariate/Daphnet/S05R01E2.test.csv,real,True,,unsupervised,False,multivariate,14080,9,0.2283380681818181,6,48,644,948,360.283759469697,280.8498359404656,no trend,stationary,31.0
Daphnet,S05R01E3,,multivariate/Daphnet/S05R01E3.test.csv,real,True,,unsupervised,False,multivariate,9600,9,0.4966666666666666,9,318,401,1020,346.0774305555556,268.0450955835511,no trend,trend_stationary,32.0
Daphnet,S05R02E0,,multivariate/Daphnet/S05R02E0.test.csv,real,True,,unsupervised,False,multivariate,35840,9,0.2142578125,15,111,369,1830,404.5384455605159,298.97146345623554,no trend,stationary,33.0
Daphnet,S05R02E1,,multivariate/Daphnet/S05R02E1.test.csv,real,True,,unsupervised,False,multivariate,30080,9,0.1774601063829787,11,57,309,1427,426.9161975472813,309.18100247768695,linear trend,trend_stationary,33.0
Daphnet,S06R01E0,,multivariate/Daphnet/S06R01E0.test.csv,real,True,,unsupervised,False,multivariate,51200,9,0.157265625,7,121,1278,2594,362.9772005208333,263.19905583614326,no trend,stationary,21.0
Daphnet,S06R01E1,,multivariate/Daphnet/S06R01E1.test.csv,real,True,,unsupervised,False,multivariate,30720,9,0.0088541666666666,2,98,136,174,400.4470486111112,211.58026059805448,no trend,difference_stationary,31.0
Daphnet,S06R01E2,,multivariate/Daphnet/S06R01E2.test.csv,real,True,,unsupervised,False,multivariate,25600,9,0.0034765625,1,89,89,89,175.54784288194446,517.3170497755791,no trend,stationary,45.0
Daphnet,S06R02E0,,multivariate/Daphnet/S06R02E0.test.csv,real,True,,unsupervised,False,multivariate,7040,9,0.0,0,0,0,0,418.1369633838383,353.1442526946547,no trend,difference_stationary,32.0
Daphnet,S06R02E1,,multivariate/Daphnet/S06R02E1.test.csv,real,True,,unsupervised,False,multivariate,12800,9,0.0,0,0,0,0,403.4431076388889,325.8190581651977,no trend,trend_stationary,32.0
Daphnet,S07R01E0,,multivariate/Daphnet/S07R01E0.test.csv,real,True,,unsupervised,False,multivariate,74240,9,0.0522090517241379,16,54,195,736,357.6181992337165,218.61137262096383,no trend,stationary,40.0
Daphnet,S07R02E0,,multivariate/Daphnet/S07R02E0.test.csv,real,True,,unsupervised,False,multivariate,28800,9,0.0464236111111111,8,54,93,447,355.8221797839506,242.7577465000124,no trend,difference_stationary,36.0
Daphnet,S08R01E0,,multivariate/Daphnet/S08R01E0.test.csv,real,True,,unsupervised,False,multivariate,14720,9,0.15,2,837,1104,1371,383.9149607487923,107.82268772512732,no trend,trend_stationary,13.0
Daphnet,S08R01E1,,multivariate/Daphnet/S08R01E1.test.csv,real,True,,unsupervised,False,multivariate,10240,9,0.44638671875,4,839,1212,1307,365.5522352430556,122.19322776163432,no trend,trend_stationary,12.0
Daphnet,S08R01E2,,multivariate/Daphnet/S08R01E2.test.csv,real,True,,unsupervised,False,multivariate,13440,9,0.0787946428571428,3,140,372,547,347.5530836640212,112.3214937249275,no trend,stationary,12.0
Daphnet,S08R01E3,,multivariate/Daphnet/S08R01E3.test.csv,real,True,,unsupervised,False,multivariate,10880,9,0.4614889705882353,5,655,1041,1360,352.00820057189543,111.68997748686394,no trend,trend_stationary,12.0
Daphnet,S09R01E0,,multivariate/Daphnet/S09R01E0.test.csv,real,True,,unsupervised,False,multivariate,9600,9,0.0336458333333333,4,44,83,112,393.0579282407408,252.6699603979836,no trend,difference_stationary,37.0
Daphnet,S09R01E1,,multivariate/Daphnet/S09R01E1.test.csv,real,True,,unsupervised,False,multivariate,10880,9,0.4243566176470588,6,184,730,1430,378.2959456699347,247.24873866566108,no trend,trend_stationary,34.0
Daphnet,S09R01E2,,multivariate/Daphnet/S09R01E2.test.csv,real,True,,unsupervised,False,multivariate,35200,9,0.2069034090909091,5,185,1638,2370,351.243658459596,218.1943070788299,quadratic trend,trend_stationary,31.0
